symbol,name,market,price,strategies_count,s1_top20,s2_turnaround,s3_momentum,s4_breakout,s5_ma200,s1_value,s2_value,s3_value,s4_value,s5_value
000720,현대건설,KOSPI,159600.0,5,True,True,True,True,True,317145541295.0,132.31441048034935,58.857979502196194,167590533600.0,104.67114438228364
001550,조비,KOSPI,17450.0,5,True,True,True,True,True,16272933115.5,62.628145386766064,58.76777251184834,43517839550.0,37.08961497065732
006110,삼아알미늄,KOSPI,36450.0,5,True,True,True,True,True,7087957077.5,59.170305676855904,59.08183632734531,29695414050.0,52.33581584292484
010060,홀딩스,KOSPI,158100.0,5,True,True,True,True,True,33640715005.0,55.45722713864307,54.83071841453344,31543637700.0,52.73739022905779
017960,한국카본,KOSPI,45850.0,5,True,True,True,True,True,39495970255.0,65.22522522522523,59.39278937381404,22931694100.0,46.76579092676916
034020,두산에너빌리티,KOSPI,105700.0,5,True,True,True,True,True,755888362250.0,43.614130434782616,52.859350850077284,614899919900.0,43.88734043241072
052690,한전기술,KOSPI,172400.0,5,True,True,True,True,True,81916702705.0,93.27354260089686,54.19906687402799,78136507200.0,67.41358633112738
085620,미래에셋생명,KOSPI,17160.0,5,True,True,True,True,True,21762301947.0,104.28571428571428,52.97823596792668,76852003800.0,102.77456100961876
097230,중공업,KOSPI,26550.0,5,True,True,True,True,True,60568253739.0,37.28024819027922,52.799057159693575,139857727050.0,37.17208509319177
112610,씨에스윈드,KOSPI,56000.0,5,True,True,True,True,True,33814871522.5,42.85714285714286,59.66057441253264,31376912000.0,24.593957193076132
120110,코오롱인더,KOSPI,71200.0,5,True,True,True,True,True,26290863120.0,73.44701583434836,59.57854406130268,22080971200.0,65.83883120891151
272210,한화시스템,KOSPI,140000.0,5,True,True,True,True,True,511757762045.0,186.0061287027579,59.74202308214528,246294020000.0,111.97427540757734
278470,에이피알,KOSPI,328500.0,5,True,True,True,True,True,126152574875.0,51.73210161662818,58.46994535519126,88385881500.0,49.07593342636398
336260,두산퓨얼셀,KOSPI,42850.0,5,True,True,True,True,True,42156008210.0,50.88028169014085,59.88286969253294,42195466250.0,44.96676083021804
353200,대덕전자,KOSPI,67000.0,5,True,True,True,True,True,77344566950.0,59.52380952380953,55.83756345177665,96364425000.0,87.00692623414103
426030,미국나스닥100액티브,KOSPI,38075.0,5,True,True,True,True,True,21747341182.5,13.180345411848627,54.061624649859944,23749547775.0,13.682880448007584
433500,원자력TOP10,KOSPI,68105.0,5,True,True,True,True,True,20712054021.25,70.0924075924076,54.66152999449642,22326249205.0,71.17496957217568
449450,방산,KOSPI,75810.0,5,True,True,True,True,True,193971485596.25,57.69110764430576,56.234015345268546,161581964670.0,37.34821559194843
462900,바이오헬스케어액티브,KOSPI,23705.0,5,True,True,True,True,True,49075887610.0,17.759562841530062,50.12605042016807,27336416360.0,23.17165051570498
463250,방산,KOSPI,48350.0,5,True,True,True,True,True,150775738349.75,76.04223557254687,59.577076310144044,114565228300.0,50.10539975846535
015750,성우하이텍,KOSDAQ,9850.0,5,True,True,True,True,True,25066516133.5,52.71317829457365,56.243756243756245,22203820750.0,49.588063328144585
036810,에프에스티,KOSDAQ,42300.0,5,True,True,True,True,True,17456032592.5,62.498559409934316,51.30830489192264,23619854700.0,47.424411879410336
039200,오스코텍,KOSDAQ,59300.0,5,True,True,True,True,True,20179654237.5,45.16523867809057,56.67574931880108,37470128200.0,41.370555350267615
078600,대주전자재료,KOSDAQ,110700.0,5,True,True,True,True,True,54084545810.0,87.30964467005076,58.56410256410256,22133911500.0,48.73234895000604
083650,비에이치아이,KOSDAQ,101500.0,5,True,True,True,True,True,66140343130.0,98.63013698630137,57.76836158192091,52794717500.0,92.04752939840874
126340,비나텍,KOSDAQ,138500.0,5,True,True,True,True,True,16693102980.0,109.21450151057401,59.76653696498055,28492220000.0,135.20710750026214
131970,두산테스나,KOSDAQ,72800.0,5,True,True,True,True,True,22001304800.0,77.12895377128955,57.904761904761905,45104404800.0,69.66631902162197
141080,리가켐바이오,KOSDAQ,201000.0,5,True,True,True,True,True,81717080875.0,37.20136518771331,58.540630182421225,76540398000.0,30.622112179049775
213420,덕산네오룩스,KOSDAQ,47600.0,5,True,True,True,True,True,13061146922.5,39.99999999999999,56.22837370242215,30231378800.0,18.50745339681947
222800,심텍,KOSDAQ,56000.0,5,True,True,True,True,True,33213103120.0,30.841121495327094,55.41176470588235,53813592000.0,39.67891309851479
237690,에스티팜,KOSDAQ,155100.0,5,True,True,True,True,True,32531930765.0,34.869565217391305,52.35294117647059,20327561100.0,45.54019245837184
253590,네오셈,KOSDAQ,19670.0,5,True,True,True,True,True,55010642061.5,113.1094257854821,59.37866354044549,35110635280.0,78.69228498103608
347850,디앤디파마텍,KOSDAQ,87600.0,5,True,True,True,True,True,59637530470.0,25.14285714285713,50.79365079365079,65490460800.0,47.516518987363085
388050,지투파워,KOSDAQ,11680.0,5,True,True,True,True,True,26465591204.0,53.68421052631578,50.17964071856287,27737956000.0,28.801746763415004
425040,티이엠씨,KOSDAQ,9710.0,5,True,True,True,True,True,4921631416.5,34.48753462603877,51.00775193798449,33226338280.0,21.130467867991488
458870,씨어스테크놀로지,KOSDAQ,169400.0,5,True,True,True,True,True,14755004635.0,55.41284403669724,57.8544061302682,23642480400.0,107.78851201836979
475830,오름테라퓨틱,KOSDAQ,131100.0,5,True,True,True,True,True,46397763680.0,50.171821305841924,50.158478605388275,38614718400.0,126.1740867638991
476060,온코닉테라퓨틱스,KOSDAQ,24350.0,5,True,True,True,True,True,46317807557.5,47.04106280193236,58.01142089351696,30997306500.0,83.85219038932496
000150,두산,KOSPI,1088000.0,4,True,True,False,True,True,154379990000.0,45.64926372155287,48.17987152034261,86339328000.0,47.58045372850894
000270,기아,KOSPI,162000.0,4,True,True,False,True,True,327840432400.0,35.2253756260434,45.72342126298961,170983062000.0,36.61835830272773
000660,하이닉스,KOSPI,974000.0,4,True,True,False,True,True,4468970399300.0,83.77358490566039,51.39732685297692,3667113896000.0,98.715895435451
000880,한화,KOSPI,123700.0,4,True,True,False,True,True,65356220755.0,57.57961783439492,49.19908466819222,27783762200.0,31.862977630197364
000990,하이텍,KOSPI,87900.0,4,True,True,False,True,True,37335181805.0,37.34375000000001,46.070878274268104,30887093100.0,42.34068652257168
001230,동국홀딩스,KOSPI,9680.0,4,True,True,True,False,True,2937987208.0,40.49346879535558,51.012145748987855,2345860880.0,22.88006499441453
001510,증권,KOSPI,1727.0,4,True,True,False,True,True,174523034597.85,168.5847589424572,51.66666666666666,36465553190.0,121.64468829210384
002420,세기상사,KOSPI,5730.0,4,True,True,True,False,True,1450193157.0,18.266253869969052,55.40983606557377,188024220.0,5.965408674184114
002720,국제약품,KOSPI,4965.0,4,True,True,True,False,True,3758435155.0,21.097560975609753,57.870370370370374,1270156230.0,8.274316743265576
003000,부광약품,KOSPI,5940.0,4,True,True,True,False,True,17637248996.5,63.18681318681318,55.79268292682927,12611356560.0,53.90016439335743
003160,디아이,KOSPI,35950.0,4,True,True,False,True,True,20103691340.0,85.88417786970011,51.21580547112462,36679569300.0,70.09297154077262
003280,흥아해운,KOSPI,3035.0,4,True,False,True,True,True,155451475626.1,93.9297124600639,67.86786786786786,674996816805.0,74.04668580128858
003490,대한항공,KOSPI,24650.0,4,True,True,False,True,True,98077658742.5,13.85681293302541,43.83561643835617,52607117950.0,5.7304623831174295
004000,롯데정밀화학,KOSPI,51100.0,4,True,True,True,False,True,5995255357.5,21.811680572109648,52.109704641350206,10320820300.0,15.257525008176298
004020,현대제철,KOSPI,34900.0,4,True,True,False,True,True,91181135307.5,20.137693631669528,46.99300699300699,59411910300.0,6.9264765581317
004090,한국석유,KOSPI,18940.0,4,True,True,False,True,True,82395546052.0,37.345902828136325,49.810844892812106,35127847540.0,29.33138949301959
004170,신세계,KOSPI,349000.0,4,True,True,False,True,True,27632296525.0,51.082251082251084,47.790055248618785,26578793000.0,57.658166376798505
005380,현대차,KOSPI,506000.0,4,True,True,False,True,True,1242098923100.0,79.11504424778761,48.18763326226013,682133034000.0,72.95538366357786
005385,현대차우,KOSPI,262000.0,4,True,True,False,True,True,58604004275.0,31.065532766383196,44.30051813471503,25215928000.0,34.105206045995004
005387,현대차2우B,KOSPI,263500.0,4,True,True,False,True,True,78002692950.0,29.484029484029485,44.32717678100264,38732655500.0,32.70280614814367
005880,대한해운,KOSPI,2515.0,4,True,True,False,True,True,79841014845.75,45.79710144927536,55.53145336225597,495676126345.0,37.54330700048947
005930,삼성전자,KOSPI,183300.0,4,True,True,False,True,True,6555707769805.0,78.30739299610896,47.47023809523809,2526456160800.0,81.96347825223731
005935,삼성전자우,KOSPI,138300.0,4,True,True,False,True,True,792509318285.0,73.30827067669172,51.167728237791934,461728656600.0,79.07664817200681
006340,대원전선,KOSPI,5800.0,4,True,True,False,True,True,123458351865.5,65.47788873038516,53.191489361702125,36609692800.0,65.50858219070584
006360,건설,KOSPI,22400.0,4,True,True,False,True,True,24452205495.5,22.404371584699454,47.49034749034749,25299724800.0,12.646874677837472
006400,삼성SDI,KOSPI,383000.0,4,True,True,False,True,True,388238577875.0,45.90476190476191,48.608837970540094,185224928000.0,46.61437548209524
006800,미래에셋증권,KOSPI,70900.0,4,True,True,False,True,True,465031931760.3,248.2147242276902,52.96042540137029,295398681700.0,159.60269071415087
007340,오토모티브,KOSPI,35850.0,4,True,False,True,True,True,10180737315.0,53.53319057815846,60.42154566744731,52987662300.0,43.01956794925499
008060,대덕,KOSPI,12960.0,4,True,True,True,False,True,1570275192.5,35.70680628272251,56.60919540229885,834935040.0,38.64224737371362
009150,삼성전기,KOSPI,413000.0,4,True,True,False,True,True,365457057425.0,64.21471172962228,47.32673267326733,290438533000.0,88.69907295298059
009830,한화솔루션,KOSPI,46050.0,4,True,True,False,True,True,341295778695.0,76.4367816091954,43.40588988476312,154041486600.0,42.03099699282906
009900,명신산업,KOSPI,10800.0,4,True,True,True,False,True,10829096063.0,29.651860744297707,57.40149094781683,5175889200.0,21.538132589099824
010130,고려아연,KOSPI,1600000.0,4,True,True,False,True,True,72536112350.0,40.10507880910683,45.33029612756264,31912000000.0,40.44389047132091
010140,삼성중공업,KOSPI,28750.0,4,True,True,False,True,True,182001634710.0,22.34042553191489,48.538011695906434,204678121250.0,24.90333567934382
010780,아이에스동서,KOSPI,31750.0,4,True,True,True,False,True,5125593612.5,46.31336405529953,51.671732522796354,4855749750.0,46.566309137197614
010820,퍼스텍,KOSPI,8000.0,4,True,True,False,True,True,67942749292.5,113.33333333333333,54.614412136536025,76399352000.0,77.12634643699283
011700,한신기계,KOSPI,5010.0,4,True,True,False,True,True,22872644832.0,67.0,45.20766773162939,23991827880.0,36.7908751476099
012330,현대모비스,KOSPI,401000.0,4,True,True,False,True,True,196667737675.0,13.920454545454541,43.24734446130501,71196748000.0,19.41898642763016
012450,한화에어로스페이스,KOSPI,1476000.0,4,True,False,True,True,True,579028258300.0,73.44300822561691,65.78947368421052,267067440000.0,47.32631558669249
015260,에이엔피,KOSPI,700.0,4,True,True,True,False,True,4136032377.8,92.83746556473828,54.21455938697318,366527700.0,45.99910314836637
017670,텔레콤,KOSPI,76300.0,4,True,True,False,True,True,109198644140.0,44.50757575757576,43.70860927152317,31740113300.0,31.58802428256071
018470,조일알미늄,KOSPI,1344.0,4,True,True,True,True,False,5114572231.85,22.739726027397268,55.86481113320079,35686027776.0,-3.354546435120276
019180,티에이치엔,KOSPI,8450.0,4,True,True,True,False,True,4587389726.5,30.000000000000004,54.973821989528794,5488435550.0,51.77913890036463
025860,남해화학,KOSPI,8650.0,4,True,False,True,True,True,27402059146.0,34.31677018633541,60.76759061833689,49097235650.0,21.888496685055635
028670,팬오션,KOSPI,5100.0,4,True,True,False,True,True,59424469442.0,34.387351778656125,48.157248157248155,58717498500.0,23.73159947353418
032830,삼성생명,KOSPI,212000.0,4,True,True,False,True,True,112415016325.0,39.749505603164145,43.28859060402685,35365628000.0,38.173309739588944
036570,엔씨소프트,KOSPI,226000.0,4,True,True,False,True,True,34660722560.0,16.19537275064267,48.35371589840075,22564970000.0,9.150269977880177
039490,키움증권,KOSPI,430000.0,4,True,True,False,True,True,74711012375.0,55.51537070524412,42.44604316546763,30073770000.0,54.81826855568956
042660,한화오션,KOSPI,131900.0,4,True,True,False,True,True,302502361915.0,27.43961352657005,40.49689440993789,161231790100.0,17.680647377389967
042700,한미반도체,KOSPI,300000.0,4,True,False,True,True,True,609126792750.0,157.95356835769562,64.15929203539824,263774700000.0,128.62020088094982
044450,해운,KOSPI,10650.0,4,True,True,False,True,True,14546039590.5,23.98137369033759,46.94915254237288,29646096150.0,9.972945622766982
047040,대우건설,KOSPI,11980.0,4,True,False,True,True,True,258367926570.0,228.66941015089162,71.66344294003869,304342447780.0,167.73193284353437
047050,포스코인터내셔널,KOSPI,73800.0,4,True,True,False,True,True,104264889880.0,54.2319749216301,50.63829787234043,62343952200.0,35.988612335714976
047810,한국항공우주,KOSPI,191200.0,4,True,True,False,True,True,201161290385.0,79.19400187441425,56.81818181818182,226182334400.0,66.91619706936362
066970,엘앤에프,KOSPI,105100.0,4,True,True,False,True,True,53447794805.0,12.768240343347648,44.71830985915493,20057494200.0,14.526692020181109
079550,넥스원,KOSPI,730000.0,4,True,False,True,True,True,430597742850.0,93.37748344370863,69.76170912078882,443830510000.0,45.61993197753862
082640,동양생명,KOSPI,8340.0,4,True,True,True,False,True,12540396330.5,36.05220228384991,57.407407407407405,4795766880.0,15.58851044662346
091160,반도체,KOSPI,99470.0,4,True,True,False,True,True,550333463604.5,83.5070565445992,55.00176491351923,310284828070.0,83.74366401158582
091230,반도체,KOSPI,104430.0,4,True,True,False,True,True,63886669154.25,83.71332066708888,55.19617494023344,29143280100.0,84.4704432616487
102970,증권,KOSPI,26920.0,4,True,True,False,True,True,190092349829.75,84.44672833162042,43.080486392588305,92544795320.0,68.98216805000416
103590,일진전기,KOSPI,77000.0,4,True,True,False,True,True,54274083690.0,46.38783269961977,44.444444444444436,21120407000.0,55.89569160997732
105840,우진,KOSPI,26500.0,4,True,True,False,True,True,41768784722.5,55.24311657879319,47.39229024943311,69614970000.0,69.40430414784842
114800,인버스,KOSPI,1686.0,4,True,True,True,True,False,592901063843.6,10.340314136125661,50.614754098360656,434091963498.0,-42.110097255723325
122630,레버리지,KOSPI,82055.0,4,True,True,False,True,True,2077116700028.5,99.7444011684518,43.72612681436211,1578944322160.0,97.60992059358837
123320,레버리지,KOSPI,82115.0,4,True,True,False,True,True,60093940775.25,101.60320149272053,44.13291292747999,20366326530.0,99.94876792209608
133690,미국나스닥100,KOSPI,162725.0,4,True,False,True,True,True,119461516296.5,3.183158428711841,66.65450565487049,66034781350.0,6.91331838047069
138540,현대차그룹플러스,KOSPI,58435.0,4,True,True,False,True,True,100904445168.0,41.6777791247424,46.452758965249245,32623442410.0,42.01685318505024
157500,증권,KOSPI,18580.0,4,True,True,False,True,True,72067065577.0,86.73366834170855,43.50594227504244,27525824080.0,70.53107396487042
229200,코스닥150,KOSPI,19640.0,4,True,True,False,True,True,1069690007082.75,30.498338870431894,48.46190250828206,459813683280.0,30.598999893605704
232080,코스닥150,KOSPI,20070.0,4,True,True,False,True,True,194981113502.0,30.749185667752442,48.560641812175554,61792840620.0,30.472091844031567
233160,코스닥150,KOSPI,18455.0,4,True,True,False,True,True,54656223787.5,51.08473188702416,44.981036662452595,26037993405.0,47.64874080545567
233740,코스닥150레버리지,KOSPI,16700.0,4,True,True,False,True,True,1361464349424.5,53.00045808520384,45.158501440922194,604583520200.0,49.42266482348887
237350,코스피100,KOSPI,66000.0,4,True,True,False,True,True,65663868226.25,49.642897630654126,46.64206642066421,23108514000.0,54.374048319077104
261220,원유선물,KOSPI,23560.0,4,True,False,True,True,True,43443552128.25,81.64996144949885,73.14108001130901,111690161640.0,61.54828534940131
271940,일진하이솔루스,KOSPI,16880.0,4,True,True,True,False,True,2975427264.5,27.588813303099013,57.295597484276726,2067867520.0,5.844988509422899
284430,미국채혼합,KOSPI,19695.0,4,True,True,False,True,True,46429637206.95,18.487546624954888,50.360884749708966,21432000525.0,24.02806894688552
292150,코리아TOP10,KOSPI,30120.0,4,True,True,False,True,True,149101325770.0,61.579314414462736,47.15384615384616,59298870480.0,65.58016138568385
298040,효성중공업,KOSPI,2517000.0,4,True,True,False,True,True,128943567850.0,43.25554923164485,41.59881569207994,93758250000.0,55.47449989653563
305720,차전지산업,KOSPI,15935.0,4,True,True,False,True,True,144522725990.75,18.08077065579845,42.21585482330468,67904883145.0,16.445826383547768
307950,현대오토에버,KOSPI,420000.0,4,True,True,False,True,True,109927958525.0,63.106796116504846,47.6780185758514,35406840000.0,73.9098029229269
315960,대형고배당10TR,KOSPI,57320.0,4,True,True,False,True,True,51941096724.25,62.540762795973336,47.52623688155922,38312057480.0,69.40624323479628
322000,현대에너지솔루션,KOSPI,119400.0,4,True,False,True,True,True,217709187475.0,135.96837944664034,63.26388888888889,86883081600.0,113.7419611809512
329180,현대중공업,KOSPI,583000.0,4,True,True,False,True,True,158888610200.0,15.674603174603185,45.04132231404959,89562209000.0,14.105092159923283
360750,미국S,KOSPI,24785.0,4,True,False,True,True,True,233941764757.5,1.4323715981174434,60.0,179950922445.0,7.124387686984135
364980,차전지TOP10,KOSPI,9815.0,4,True,True,False,True,True,39545433563.75,14.661214953271017,40.28716216216217,23655690955.0,10.950654371472734
379800,미국S,KOSPI,22650.0,4,True,False,True,True,True,259532981482.5,1.4557670772676445,59.920634920634924,190720927500.0,7.1417928204119185
379810,미국나스닥100,KOSPI,24380.0,4,True,False,True,True,True,108261031291.25,3.2176121930567403,66.66666666666666,46031366020.0,6.91556915218321
381170,미국테크TOP10,KOSPI,29250.0,4,True,False,True,True,True,50462121426.25,2.884277172001415,60.443037974683534,90165377250.0,4.386536385131712
381180,미국필라델피아반도체나스닥,KOSPI,30320.0,4,True,True,False,True,True,64705754484.75,14.957345971563974,47.32142857142857,56781961920.0,23.8982677534735
390390,미국반도체,KOSPI,39970.0,4,True,True,False,True,True,34601148009.0,15.543607088139222,48.3996120271581,38234982240.0,24.24513001520814
395160,반도체,KOSPI,27140.0,4,True,True,False,True,True,134002811158.75,69.625,54.124096685771235,57352519400.0,75.93131288904303
395270,반도체,KOSPI,33895.0,4,True,True,False,True,True,158559703411.25,81.2566844919786,52.65078342992058,123738036060.0,89.06523015393799
396500,반도체TOP10,KOSPI,33110.0,4,True,True,False,True,True,933483993900.0,89.14595829762926,55.0550346514472,458104298190.0,88.25656566805209
402340,스퀘어,KOSPI,562000.0,4,True,True,False,True,True,363109580650.0,100.0,48.20717131474104,259162928000.0,100.27832272250228
411060,금현물,KOSPI,33500.0,4,True,True,False,True,True,105525899573.25,17.48202700333159,49.11452184179458,54719369000.0,28.02604852378323
421320,우주항공,KOSPI,47990.0,4,True,False,True,True,True,41137029297.0,111.59611992945324,61.71341925701289,26786146390.0,76.30321655097418
434730,원자력iSelect,KOSPI,67085.0,4,True,True,False,True,True,62413093891.75,43.497326203208566,46.803423105965265,36342158305.0,49.68224457545498
442580,글로벌HBM반도체,KOSPI,63005.0,4,True,True,False,True,True,28975212569.0,70.28378378378379,51.2577065351418,36483360275.0,85.4564523200601
444200,코리아메가테크액티브,KOSPI,43320.0,4,True,True,False,True,True,56363324023.0,43.992022602625894,49.754430920350195,23696126640.0,49.59635402053151
445290,로봇액티브,KOSPI,32425.0,4,True,True,False,True,True,65119797476.75,32.56336876533115,44.58815520762424,24218654025.0,44.39331983287336
450080,에코프로머티,KOSPI,61900.0,4,True,True,False,True,True,101050384195.0,23.061630218687878,46.65427509293681,43830090100.0,11.252898146983226
455850,반도체소부장,KOSPI,25935.0,4,True,True,False,True,True,116710823695.25,62.959472196041474,58.154335719968174,54154951305.0,62.368507959562834
456600,글로벌AI인공지능액티브,KOSPI,41870.0,4,True,True,True,False,True,17419253099.5,23.273958486677458,54.19029615626969,9192265410.0,21.511972281224033
457190,이수스페셜티케미컬,KOSPI,89500.0,4,True,True,False,True,True,51507946685.0,63.02367941712204,46.187845303867405,32670543000.0,52.966612259547595
457480,테슬라밸류체인액티브,KOSPI,21095.0,4,True,False,True,True,True,24051227057.0,5.8454591068740624,50.488599348534194,22325513540.0,12.632635005657011
462010,차전지소재Fn,KOSPI,6270.0,4,True,True,False,True,True,53071302181.5,23.303834808259595,40.54621848739496,24401165910.0,26.704422024744765
463050,바이오액티브,KOSPI,20170.0,4,True,True,True,False,True,26957262466.5,16.657027183342965,50.72115384615385,12555018200.0,24.543266744570523
465580,미국빅테크TOP7,KOSPI,21840.0,4,True,False,True,True,True,27228956831.75,3.164855928200283,60.28513238289206,53452919520.0,5.276020566422579
466920,조선TOP3플러스,KOSPI,36890.0,4,True,True,False,True,True,113142338795.0,17.821782178217816,42.978208232445525,75353321610.0,14.449346313980271
469150,반도체TOP3,KOSPI,46325.0,4,True,True,False,True,True,78966322123.0,95.38169548713623,57.59312320916905,35231876525.0,96.23188190928431
471760,반도체핵심공정,KOSPI,19170.0,4,True,True,False,True,True,43263278006.5,81.79231863442389,59.67202141900937,22730942520.0,67.61974712764282
471990,반도체핵심장비,KOSPI,24885.0,4,True,True,False,True,True,54627737936.25,68.71186440677965,59.27950310559006,27539905995.0,76.91533870560676
472150,배당커버드콜액티브,KOSPI,17490.0,4,True,True,False,True,True,59518250065.35,43.97431675996049,47.3971406744516,40776920580.0,44.49547821683162
475150,이터닉스,KOSPI,38450.0,4,True,False,True,True,True,112375934302.5,103.76258611552731,65.28497409326425,107316833750.0,70.9131965435084
486450,미국AI전력인프라,KOSPI,21315.0,4,True,True,True,False,True,4944824336.5,12.125197264597576,56.647940074906366,1249485300.0,13.448263014748552
487230,미국AI전력핵심인프라,KOSPI,20120.0,4,True,True,False,True,True,45481944762.5,23.503775090540778,55.45314900153609,24307837160.0,16.82660162622398
487240,전력핵심설비,KOSPI,30915.0,4,True,True,False,True,True,168845423370.5,38.07503349709691,43.57446808510638,96216476265.0,49.147701574336836
488080,반도체TOP10레버리지,KOSPI,42490.0,4,True,True,False,True,True,338979580099.5,212.31165012862917,52.86125319693094,193050978050.0,173.65287625338362
489790,한화비전,KOSPI,78600.0,4,True,True,False,True,True,140702839400.0,118.63699582753826,59.69802555168409,47886421200.0,44.49127031908488
490480,방산,KOSPI,39170.0,4,True,True,True,False,True,12153721718.5,65.27426160337552,59.41893158388004,6254352240.0,44.595436402648645
494310,반도체레버리지,KOSPI,68495.0,4,True,True,False,True,True,361002282383.5,194.1593300407988,53.03892299892976,284524394280.0,164.08932654233644
494670,조선TOP10,KOSPI,29340.0,4,True,True,False,True,True,57248324437.0,16.776119402985067,41.71385428463571,28840017060.0,15.026232763462133
495050,코리아밸류업,KOSPI,24870.0,4,True,True,False,True,True,89430584212.0,53.41434828203071,47.160764435920264,23485238400.0,56.23876071942704
496770,글로벌방산,KOSPI,21525.0,4,True,True,True,False,True,2010719195.75,23.77803335250144,54.55893254262417,2140037025.0,22.182945190802638
498400,타겟위클리커버드콜,KOSPI,17270.0,4,True,True,False,True,True,209296899898.65,39.66841892438333,45.7493080268881,113968702100.0,42.692248266334644
000250,삼천당제약,KOSDAQ,730000.0,4,True,True,False,True,True,195210096600.0,235.63218390804596,57.681940700808624,120866100000.0,171.57283453215996
000440,중앙에너비스,KOSDAQ,31200.0,4,True,False,True,True,True,51452415238.0,106.34920634920637,65.80459770114942,48465112800.0,88.94833898058737
005860,한일사료,KOSDAQ,4570.0,4,True,False,True,True,True,56195468257.75,55.178268251273344,67.70981507823613,105439533560.0,33.60815097428702
006910,보성파워텍,KOSDAQ,12090.0,4,True,True,False,True,True,196268589807.5,145.98168870803661,48.72646733111849,498626951160.0,130.80117023256705
010170,대한광통신,KOSDAQ,7270.0,4,True,False,True,True,True,173614086220.75,250.5303760848602,67.3582295988935,126482907480.0,265.72359948486803
010280,아이티센엔텍,KOSDAQ,1140.0,4,True,True,True,False,True,1016215336.4,19.371727748691093,53.40236686390532,369586860.0,8.295018429152258
019210,와이지-원,KOSDAQ,12860.0,4,True,False,True,True,True,16941077797.5,151.66340508806263,66.57848324514991,23325043620.0,107.90054400103469
023900,풍국주정,KOSDAQ,9950.0,4,True,True,True,False,True,3292245861.5,13.714285714285722,58.58895705521472,2972970450.0,7.186331857501438
024060,흥구석유,KOSDAQ,23550.0,4,True,True,False,True,True,356746219916.0,102.31958762886597,52.81643472498344,88914131850.0,73.59511427423607
024740,한일단조,KOSDAQ,3435.0,4,True,False,True,True,True,21146359500.75,65.14423076923077,63.67781155015197,45789106470.0,51.93568719383413
027360,아주IB투자,KOSDAQ,6330.0,4,True,False,True,True,True,56274949815.25,161.03092783505156,60.639880952380956,134896731000.0,124.97627619836295
030530,원익홀딩스,KOSDAQ,31800.0,4,True,True,False,True,True,53298287322.5,19.774011299435035,45.28301886792453,23095735800.0,52.726748793314606
031980,피에스케이홀딩스,KOSDAQ,110000.0,4,True,False,True,True,True,34751821635.0,169.60784313725492,72.23021582733813,33936100000.0,126.09553564087807
032500,케이엠더블유,KOSDAQ,26000.0,4,True,False,True,True,True,15510146621.0,80.93249826026442,66.7380824852705,25687428000.0,79.22629387597541
032820,우리기술,KOSDAQ,24000.0,4,True,False,True,True,True,718118683745.0,560.2475928473177,68.04492087799898,899145384000.0,329.0253527169371
033160,엠케이전자,KOSDAQ,16010.0,4,True,False,True,True,True,12815066404.0,98.14356435643565,74.12244897959184,45133502820.0,81.55426782940023
036170,에이치엠넥스,KOSDAQ,5250.0,4,True,False,True,True,True,14256488127.55,528.7425149700598,87.68844221105527,35702913750.0,336.06643160609497
036830,솔브레인홀딩스,KOSDAQ,54500.0,4,True,True,True,False,True,8510697355.0,46.70255720053835,52.69230769230769,4092241500.0,28.22775130874655
036890,진성티이씨,KOSDAQ,16330.0,4,True,True,True,False,True,5641228234.5,27.279812938425565,53.389043639740024,8319253180.0,27.509389469738977
036930,주성엔지니어링,KOSDAQ,64100.0,4,True,False,True,True,True,123320989750.0,138.73370577281193,61.39630390143737,58316321100.0,90.9485615555903
038500,삼표시멘트,KOSDAQ,17100.0,4,True,True,False,True,True,232463035249.0,282.5503355704698,53.42813610970036,90068812200.0,226.40128269977762
039030,이오테크닉스,KOSDAQ,410000.0,4,True,True,False,True,True,66301149300.0,72.9957805907173,56.68789808917197,25040750000.0,61.56616725644886
039560,다산네트웍스,KOSDAQ,4480.0,4,True,True,True,False,True,3808684033.25,47.36842105263157,55.16014234875445,5804906240.0,38.53991913350703
041020,폴라리스오피스,KOSDAQ,4890.0,4,True,True,True,True,False,11230296500.25,47.289156626506035,55.50595238095239,129871314390.0,-6.594718494818775
041910,폴라리스AI파마,KOSDAQ,8920.0,4,True,False,True,True,True,16716670966.5,52.218430034129696,71.61016949152543,229934961040.0,29.90039028368381
042520,한스바이오메드,KOSDAQ,40100.0,4,True,True,False,True,True,11476793070.0,79.8206278026906,42.33038348082596,21643333400.0,83.7308823664171
043260,성호전자,KOSDAQ,46800.0,4,True,False,True,True,True,108790695187.5,763.4686346863468,78.98172323759792,68327719200.0,577.9101247615364
044490,태웅,KOSDAQ,44800.0,4,True,False,True,True,True,30098450935.0,83.23108384458078,60.483870967741936,24731929600.0,41.57837769508505
046120,오르비텍,KOSDAQ,10000.0,4,True,False,True,True,True,54473346894.5,161.43790849673204,69.32098765432099,173095120000.0,142.5800817494875
048410,현대바이오,KOSDAQ,15750.0,4,True,True,False,True,True,119702571026.5,224.40782698249228,44.71757322175732,41536514250.0,135.97008049201636
050890,쏠리드,KOSDAQ,12340.0,4,True,False,True,True,True,70877954351.5,76.28571428571429,69.67305524239008,32749780020.0,66.88868903119358
051370,인터플렉스,KOSDAQ,12620.0,4,True,True,True,False,True,3673310475.0,30.371900826446275,51.94986072423398,2774973940.0,28.468104382879723
